periodCode,accountCode,currency,dimensionKey,debitOriginal,creditOriginal,exchangeRate
2026-06,22020087,CNY,,10000.00,0.00,1
2026-06,22020088,CNY,,380000.00,0.00,1
2026-06,22020089,CNY,,38552.96,0.00,1
2026-06,22020091,CNY,,0.00,682.97,1
2026-06,22020094,CNY,,0.00,718.00,1
2026-06,22020095,CNY,,0.00,3024.00,1
2026-06,22020098,CNY,,0.00,1094963.00,1
2026-06,22020099,CNY,,0.00,1859095.04,1
2026-06,22020100,CNY,,0.00,131.52,1
2026-06,22020102,CNY,,0.00,331560.00,1
2026-06,22020103,CNY,,0.00,669.00,1
2026-06,22020104,CNY,,0.00,354.00,1
2026-06,22020106,CNY,,0.00,2000.00,1
2026-06,22020107,CNY,,0.00,1680000.00,1
2026-06,22020108,CNY,,999913.66,0.00,1
2026-06,22020109,CNY,,12900.00,0.00,1
2026-06,22020110,CNY,,11000.00,0.00,1
2026-06,22020112,CNY,,0.00,4999.00,1
2026-06,22020120,CNY,,4000.00,0.00,1
2026-06,22020121,CNY,,0.00,110000.00,1
2026-06,22020122,CNY,,76100.00,0.00,1
2026-06,22020123,CNY,,0.00,67680.00,1
2026-06,22020124,CNY,,92388.00,0.00,1
2026-06,22020125,CNY,,150000.00,0.00,1
2026-06,22020126,CNY,,20000.00,0.00,1
2026-06,22020127,CNY,,400000.00,0.00,1
2026-06,22020128,CNY,,8980.00,0.00,1
2026-06,22020131,CNY,,0.00,112500.00,1
2026-06,22020134,CNY,,0.00,5100.20,1
2026-06,22020138,CNY,,0.00,999.00,1
2026-06,22020139,CNY,,0.00,5700.00,1
2026-06,22020142,CNY,,11342.00,0.00,1
2026-06,22020145,CNY,,0.00,1114.00,1
2026-06,22020146,CNY,,197288.80,0.00,1
2026-06,22020147,CNY,,0.00,4161.76,1
2026-06,22020148,CNY,,0.00,207340.00,1
2026-06,22020150,CNY,,0.00,8665.75,1
2026-06,22020152,CNY,,79500.00,0.00,1
2026-06,22020154,CNY,,112500.00,0.00,1
2026-06,22020155,CNY,,9212.00,0.00,1
2026-06,22020157,CNY,,12600.00,0.00,1
2026-06,22020158,CNY,,2440.00,0.00,1
2026-06,22020159,CNY,,10000.00,0.00,1
2026-06,22020161,CNY,,2119200.00,0.00,1
2026-06,22020162,CNY,,3680.00,0.00,1
2026-06,22020164,CNY,,52200.00,0.00,1
2026-06,22020167,CNY,,0.00,148600.00,1
2026-06,22020168,CNY,,429.56,0.00,1
2026-06,22020170,CNY,,0.00,1744512.00,1
2026-06,22020171,CNY,,0.00,868.00,1
2026-06,22020172,CNY,,0.00,950164.00,1
2026-06,22020173,CNY,,0.00,5342833.58,1
2026-06,22020176,CNY,,673955.20,0.00,1
2026-06,22020177,CNY,,600000.00,0.00,1
2026-06,22020178,CNY,,0.00,139336.20,1
2026-06,22020179,CNY,,1680000.00,0.00,1
2026-06,22020180,CNY,,3000.00,0.00,1
2026-06,22020182,CNY,,62758.00,0.00,1
2026-06,22020183,CNY,,4770.00,0.00,1
2026-06,22020184,CNY,,12600.00,0.00,1
2026-06,22020185,CNY,,345597.35,0.00,1
2026-06,22020186,CNY,,28896.00,0.00,1
2026-06,22020187,CNY,,0.00,65500.00,1
2026-06,22020188,CNY,,0.00,1580.92,1
2026-06,22020193,CNY,,14500.00,0.00,1
2026-06,22020195,CNY,,0.00,15.96,1
2026-06,22020197,CNY,,0.00,2112742.00,1
2026-06,22020200,CNY,,132000.00,0.00,1
2026-06,22020201,CNY,,18450.00,0.00,1
2026-06,22020202,CNY,,2297500.00,0.00,1
2026-06,22020203,CNY,,0.00,300000.00,1
2026-06,22020206,CNY,,0.00,0.20,1
2026-06,22020209,CNY,,950164.00,0.00,1
2026-06,22020210,CNY,,139337.00,0.00,1
2026-06,22020211,CNY,,60000.00,0.00,1
2026-06,22020212,CNY,,120000.00,0.00,1
2026-06,22020213,CNY,,0.00,857.62,1
2026-06,22020214,CNY,,3000.00,0.00,1
2026-06,22020215,CNY,,4600.00,0.00,1
2026-06,22020216,CNY,,422000.00,0.00,1
2026-06,22020217,CNY,,12000.00,0.00,1
2026-06,22020218,CNY,,46900.00,0.00,1
2026-06,22020219,CNY,,0.00,5231.30,1
2026-06,22020220,CNY,,0.00,667.90,1
2026-06,22020221,CNY,,22000.00,0.00,1
2026-06,22020222,CNY,,30000.00,0.00,1
2026-06,22020223,CNY,,0.00,39.90,1
2026-06,22020224,CNY,,0.00,1300.00,1
2026-06,22020225,CNY,,0.00,182.90,1
2026-06,22020226,CNY,,52052.00,0.00,1
2026-06,22020228,CNY,,10000.00,0.00,1
2026-06,22020229,CNY,,0.00,1177.80,1
2026-06,22020230,CNY,,0.00,23.80,1
2026-06,22020231,CNY,,2252.88,0.00,1
2026-06,22020232,CNY,,960000.00,0.00,1
2026-06,22020233,CNY,,9300.00,0.00,1
2026-06,22020234,CNY,,300000.00,0.00,1
2026-06,22020235,CNY,,0.00,17424.00,1
2026-06,22020237,CNY,,390000.00,0.00,1
2026-06,22020239,CNY,,1400.00,0.00,1
2026-06,22020241,CNY,,0.00,40.00,1
2026-06,22020242,CNY,,0.00,398.99,1
2026-06,22020243,CNY,,0.00,550.00,1
2026-06,22020244,CNY,,0.00,331.00,1
2026-06,22020245,CNY,,0.00,2640.00,1
2026-06,22020246,CNY,,14800.00,0.00,1
2026-06,22020247,CNY,,5000.00,0.00,1
2026-06,22020250,CNY,,0.00,4127.34,1
2026-06,22020251,CNY,,0.00,1156.00,1
2026-06,22020252,CNY,,4770.00,0.00,1
2026-06,22020253,CNY,,0.00,80.00,1
2026-06,22020254,CNY,,0.00,109.04,1
2026-06,22020255,CNY,,1500.00,0.00,1
2026-06,22030001,CNY,,0.00,21630.00,1
2026-06,22110001,CNY,,0.00,148540.11,1
2026-06,22110002,CNY,,0.00,24704.39,1
2026-06,22110003,CNY,,0.00,420.68,1
2026-06,22110004,CNY,,13447.50,0.00,1
2026-06,22210001001,CNY,,11872831.75,0.00,1
2026-06,22210001005,CNY,,1713879.94,0.00,1
2026-06,22210001006,CNY,,0.00,13434096.84,1
2026-06,22210002,CNY,,47213.67,0.00,1
2026-06,22210006,CNY,,0.00,3833.99,1
2026-06,22210008,CNY,,8956.46,0.00,1
2026-06,22210012,CNY,,0.00,122011.08,1
2026-06,22210013,CNY,,1130.04,0.00,1
2026-06,22210014,CNY,,753.38,0.00,1
2026-06,22210015,CNY,,251294.25,0.00,1
2026-06,22410001,CNY,,0.00,247289.64,1
2026-06,22410002,CNY,,0.00,17074.31,1
2026-06,22410003,CNY,,721.62,0.00,1
2026-06,22410004,CNY,,0.00,4769.00,1
2026-06,22410005,CNY,,1092468.27,0.00,1
2026-06,22410006,CNY,,1113512.13,0.00,1
2026-06,22410007,CNY,,0.00,281437.63,1
2026-06,22410008,CNY,,1260.00,0.00,1
2026-06,22410009,CNY,,1400.00,0.00,1
2026-06,22410010,CNY,,37755.00,0.00,1
2026-06,22410011,CNY,,0.00,25307.78,1
2026-06,22410012,CNY,,0.00,4100.00,1
2026-06,22410013,CNY,,140142.79,0.00,1
2026-06,22410014,CNY,,2000.00,0.00,1
2026-06,22410015,CNY,,690972.35,0.00,1
2026-06,22410016,CNY,,10212.00,0.00,1
2026-06,22410017,CNY,,10720.96,0.00,1
2026-06,22410018,CNY,,697400.00,0.00,1
2026-06,22410019,CNY,,1221779.83,0.00,1
2026-06,22410020,CNY,,41665.00,0.00,1
2026-06,22410021,CNY,,0.00,0.22,1
2026-06,22410022,CNY,,0.00,1550315.62,1
2026-06,22410023,CNY,,3393.71,0.00,1
2026-06,22410024,CNY,,11100.00,0.00,1
2026-06,22410025,CNY,,109300.00,0.00,1
2026-06,22410028,CNY,,25901.00,0.00,1
2026-06,22410029,CNY,,0.00,900.00,1
2026-06,22410030,CNY,,0.00,25695.50,1
2026-06,22410031,CNY,,0.00,773.75,1
2026-06,22410033,CNY,,200000.00,0.00,1
2026-06,22410034,CNY,,0.00,45000.00,1
2026-06,22410036,CNY,,27080.00,0.00,1
2026-06,22410037,CNY,,0.00,40000.00,1
2026-06,22410038,CNY,,11338.68,0.00,1
2026-06,22410039,CNY,,0.00,198.00,1
